,Unnamed: 0,song,songcode,artist,danceability,energy,acousticness
154,154,7 Years,7129iqBafaphfc3WPCGC0L,Lukas Graham,0.742,0.479,0.29
155,155,History,0WCEaydwN65cvwaW8aqptF,Olivia Holt,0.76,0.63,0.096
156,156,Famous,19a3JfW8BQwqHWUMbcqSx8,Kanye West,0.465,0.735,0.0711
157,157,Black Barbies,3y9cCbnBn0zjkJa2YkOj70,"Nicki Minaj, Mike WiLL Made-It",0.809,0.588,0.0878
158,158,Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,Adele,0.69,0.524,0.0415
159,159,Say It (feat. Tove Lo),4sQMalN597HdggTu196aL0,Flume,0.598,0.532,0.0668
160,160,She's Mine Pt. 1,0HtOJj7Kl74s1Ngf3MWeif,J. Cole,0.439,0.204,0.766
161,161,You & Me,4QdovcM8j50QPlyR7tH4xe,"Marc E. Bassy, G-Eazy",0.693,0.65,0.0398
162,162,oui,0PJIbOdMs3bd5AT8liULMQ,Jeremih,0.418,0.724,0.213
163,163,'Till I Collapse,6yr8GiTHWvFfi4o6Q5ebdT,"Eminem, Nate Dogg",0.551,0.851,0.0748
164,164,Oh Lord,1sTUEdVO85YU8Ymk2jeAls,MiC LOWRY,0.273,0.794,0.0217
165,165,My Way,1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,0.818,0.913,0.093
166,166,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",59e7E2LMPZ2bhW5G6aCwX8,A$AP Mob,0.755,0.629,0.32
167,167,4 Your Eyez Only,1vvnYpYEMVB4aq9I6tHIEB,J. Cole,0.701,0.485,0.367
168,168,Dynamite (feat. Pretty Sister),2Ae5awwKvQpTBKQHr1TYCg,Nause,0.811,0.801,0.0548
169,169,"Lose Yourself - From ""8 Mile"" Soundtrack",5Z01UMMf7V1o0MzF86s6WJ,Eminem,0.692,0.744,0.00868
170,170,Ophelia,7bTwYGhBdSQ8vuXc76Xint,The Lumineers,0.667,0.58,0.605
171,171,Hotline Bling,2FBUoWkIuQXwayw2RNo5l6,Drake,0.903,0.62,0.00347
172,172,Ville Mentality,2z3joGXrdGL2iEjIKQTiN1,J. Cole,0.87,0.386,0.745
173,173,Do What I Want,4IWGnyOHDrVZEtPWfs4s7q,Lil Uzi Vert,0.681,0.701,0.106
174,174,For Whom The Bell Tolls,3MWlVSkoLS1e66nlZ2tuWJ,J. Cole,0.595,0.416,0.536
175,175,How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,Auli'i Cravalho,0.571,0.307,0.649
176,176,No Type,4scpF6J5uMBvoh6sFB7EL1,Rae Sremmurd,0.891,0.486,0.0158
177,177,"Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",0rHJxNaQRMGK6Y4TUx3xRO,Yo Gotti,0.79,0.544,0.643
178,178,The A Team,1VdZ0vKfR5jneCmWIUAMxK,Ed Sheeran,0.642,0.289,0.669
179,179,There He Go,6canmpFnLHVUzvVWAodifz,Kodak Black,0.794,0.608,0.115
180,180,Sorry,69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber,0.654,0.76,0.0797
181,181,Taped up Heart (feat. Clara Mae),26hcyzSE154xMZCbFdtInA,KREAM,0.675,0.937,0.152
182,182,All I Know,0NWqNXBJTpXbkI5rPWNy3p,"The Weeknd, Future",0.467,0.417,0.421
183,183,Wet Dreamz,6Ius4TC0L3cN74HT7ENE6e,J. Cole,0.517,0.705,0.0751
184,184,False Alarm,32lgtADX2cB9I4KFs1Y1py,The Weeknd,0.518,0.676,0.0324
185,185,Attention,6pDVjCUA3B1vg9waKutAsv,The Weeknd,0.671,0.428,0.688
186,186,Juke Jam (feat. Justin Bieber & Towkio),3eze1OsZ1rqeXkKStNfTmi,Chance the Rapper,0.505,0.397,0.716
187,187,Let It Go,13HVjjWUZFaWilh2QUJKsP,James Bay,0.546,0.311,0.818
188,188,Skateboard P,4qdgv45EPcQqpQ08tF34f8,MadeinTYO,0.842,0.498,0.0747
189,189,beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,Travis Scott,0.743,0.571,0.24
190,190,Unsteady,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,0.389,0.665,0.178
191,191,Baptized In Fire,6WSBZroxQaO3FYEpT2ACFH,"Kid Cudi, Travis Scott",0.673,0.61,0.606
192,192,PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,ZAYN,0.584,0.7,0.117
193,193,Really Really,10I3CmmwT0BkOVhduDy53o,Kevin Gates,0.762,0.666,0.00427
