,artist,genre
339,MAYKEL,"['modern salsa', 'salsa cubana', 'timba']"
340,Tanya Stephens,"['dancehall', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae fusion']"
341,Cultura Profética,"['latin alternative', 'reggae en espanol', 'rock en espanol']"
342,Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
343,Alvaro Soler,['latin pop']
344,Imagine Dragons,"['modern rock', 'rock']"
345,Enzo Ortiz,
346,Ha*Ash,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
347,Hozier,"['irish singer-songwriter', 'modern rock', 'pop']"
348,Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']"
349,Ricardo Arjona,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'rock en espanol']"
